video_id,title,channel_title,trending_date,views,likes,comment_count,engagement_rate,channel_avg_views,channel_std_views,views_vs_channel_avg,view_zscore
O6BODAJVYc8,"2017, in 7 minutes",Vox,18.02.01,2113854,83213,22375,3.94,635409.0,328221.0,3.33,4.5
1C9STKF0Lv4,Cristiano Ronaldo's ridiculous bicycle kick vs. Juventus in UEFA Champions League | ESPN FC,ESPN,18.06.04,2248120,31981,1980,1.42,520464.0,383870.0,4.32,4.5
rFAddL8g8mw,I Went To Japan To Make The Most Difficult Omelet,Tasty,18.07.06,5065000,181845,10202,3.59,1309833.0,854814.0,3.87,4.39
fEqzx-36pOo,Camila Cabello - Havana ft. Miranda Sings (Tana Mongeau Parody),Miranda Sings,17.14.12,1881309,95216,7689,5.06,410944.0,340321.0,4.58,4.32
jPEYpryMp2s,Solo: A Star Wars Story Official Trailer,Star Wars,18.16.04,10271274,183101,34633,1.78,1088704.0,2128056.0,9.43,4.32
f2MZnJlDJ4c,Kevin Hart Leads 2018 NBA All-Star Game Introductions | Team LeBron & Team Stephen,NBA,18.22.02,2380343,21651,2501,0.91,400025.0,460866.0,5.95,4.3
VlZ1SWLBfPE,The Truth About Where Hair Extensions Come From | Shady | Refinery29,Refinery29,18.12.06,2108182,115922,6072,5.5,164658.0,452879.0,12.8,4.29
HrQNdClwMs4,DIY GIANT McDONALDS HASH BROWN 🍟 - VERSUS,HellthyJunkFood,18.15.05,1957964,25829,3698,1.32,484212.0,345221.0,4.04,4.27
HrQNdClwMs4,DIY GIANT McDONALDS HASH BROWN 🍟 - VERSUS,HellthyJunkFood,18.15.05,1957964,25829,3698,1.32,484212.0,345221.0,4.04,4.27
c8W-auqg024,"We Sent Garlic Bread to the Edge of Space, Then Ate It",Tom Scott,18.05.05,6354355,189390,26776,2.98,808414.0,1312569.0,7.86,4.23
_rB36UGoP4Y,Cobra Kai Ep 1 - “Ace Degenerate” - The Karate Kid Saga Continues,Cobra Kai,18.04.05,7627332,73086,11318,0.96,1561810.0,1449733.0,4.88,4.18
jPEYpryMp2s,Solo: A Star Wars Story Official Trailer,Star Wars,18.15.04,9971343,181127,34085,1.82,1088704.0,2128056.0,9.16,4.17
_QWZvU7VCn8,Brad Pitt Bid $120k For A Night With Emilia Clarke!  | The Graham Norton Show,The Graham Norton Show,18.14.06,5564576,46351,2861,0.83,1440898.0,988449.0,3.86,4.17
L3ymBk6Vb04,Avengers: Infinity War Cast Sings The Marvel Bunch,The Tonight Show Starring Jimmy Fallon,18.02.05,8408515,331934,12519,3.95,1377799.0,1685232.0,6.1,4.17
0XuOkYlUWIs,13 Reasons Why: Season 2 | Official Trailer [HD] | Netflix,Netflix,18.13.05,6295801,221316,21259,3.52,962789.0,1284826.0,6.54,4.15
