video_id,title,channel_title,trending_date,views,likes,comment_count,engagement_rate,view_zscore,like_zscore,comment_zscore,is_anomaly
elwTgpHlty0,[OFFICIAL VIDEO] HAVANA - PENTATONIX,PTXofficial,18.08.03,9537066,406136,21468,4.26,2.9,2.35,2.19,true
SbrOMrjhyvI,"SERENITY Official Trailer (2018) Matthew McConaughey, Anne Hathaway Movie HD",ONE Media,18.13.06,5213918,31745,3854,0.61,2.89,1.81,1.82,true
wbSwFU6tY1c,Falcon Heavy Test Flight,SpaceX,18.15.02,20547946,384024,38320,1.87,2.89,2.68,2.79,true
KONe4SNFA64,Rihanna's Epic 10-Minute Guide to Going Out Makeup | Beauty Secrets | Vogue,Vogue,18.06.05,5714766,443214,20786,7.76,2.89,3.07,2.79,true
N39uwTykTQk,THE BICYCLE OF SPRINGS,colinfurze,18.14.06,6169981,164550,9302,2.67,2.88,2.39,2.39,true
5GRyr0noXrw,BOWLING BALL Vs. TRAMPOLINE from 45m!,How Ridiculous,18.24.03,25235767,493804,42732,1.96,2.88,2.44,0.07,true
-oOlAGKBXnA,I Won't Wear A Jacket,Gus Johnson,17.15.12,1512204,50662,2781,3.35,2.88,2.62,2.54,true
cytyAgu9-bA,DEADMAU5 said this Bassline is IMPOSSIBLE...,Davie504,18.01.03,3052072,132775,9571,4.35,2.88,2.81,2.76,true
Ev9rOA2Yjs0,5 McDonald's Gadgets put to the Test!,CrazyRussianHacker,18.18.01,2305543,43982,4275,1.91,2.87,1.35,0.52,true
__4c1JCHvaQ,Logic Solves a Rubik's Cube While Eating Spicy Wings | Hot Ones,First We Feast,17.11.12,3437761,179799,20103,5.23,2.87,3.72,3.12,true
Z1rZAT2GtmI,Expiration Dates Don't Mean What You Think,CollegeHumor,17.26.11,2366705,50495,5179,2.13,2.87,1.44,1.28,true
Wzq4qbNRFrw,HIGH SCHOOL IN 2008 VS 2018,Smosh,18.08.06,3047432,82269,7411,2.7,2.87,2.24,1.78,true
eOQpjvnm4ME,The Bipartisan Pastime Of Harassing Women,The Late Show with Stephen Colbert,17.22.11,2016029,21062,4200,1.04,2.87,1.99,2.0,true
TI5bEf-BULU,How Michael B. Jordan's Black Panther Makeup Was Done — Exclusive Behind The Scenes,INSIDER,18.22.05,13862369,135099,5819,0.97,2.87,2.67,2.57,true
gA-NDZb29I4,Justin Timberlake - Filthy (Official Video),justintimberlakeVEVO,18.12.01,18871288,293244,32777,1.55,2.87,2.34,2.79,true
fmtU3FFpHtU,How to Make MAGIC SAND,The King of Random,18.11.02,1838876,23487,3341,1.28,2.87,1.27,-0.14,true
k2NskGo6x40,Danielle Bregoli Rejects Logan Paul's Apologies Over Suicide/Hanging Video | TMZ,TMZ,18.09.01,6062089,123467,35574,2.04,2.87,3.31,3.27,true
nWZMfPP34g8,BITTEN by a GIANT DESERT CENTIPEDE!,Brave Wilderness,17.26.12,5825074,173543,41584,2.98,2.87,3.54,3.53,true
wbSwFU6tY1c,Falcon Heavy Test Flight,SpaceX,18.14.02,20346849,381820,37836,1.88,2.86,2.66,2.75,true
aJOTlE1K90k,Maroon 5 - Girls Like You ft. Cardi B,Maroon5VEVO,18.09.06,66529577,2488565,142410,3.74,2.86,2.35,2.22,true
pjTj-_55WZ8,"Rudimental - These Days feat. Jess Glynne, Macklemore & Dan Caplen [Official Video]",Rudimental,18.01.02,4011561,97791,1761,2.44,2.86,2.42,2.18,true
hwQnXjZwQUQ,10 BEST Moments From 2018 Golden Globes,Clevver News,18.15.01,1941169,11631,3230,0.6,2.86,1.97,2.74,true
yDiXQl7grPQ,Do You Hear Yanny or Laurel? (SOLVED with SCIENCE),AsapSCIENCE,18.25.05,38974439,539453,168912,1.38,2.86,2.84,2.81,true
iC7wWFQUUqU,Keith Urban - Coming Home ft. Julia Michaels,KeithUrbanVEVO,18.14.06,1883291,16532,401,0.88,2.85,2.32,0.27,true
